metric,value,unit,period,source_name,source_url,published_date,accessed_date,methodology,verified_status,notes
search_revenue_growth_yoy_pct,19,%,2026Q1,Alphabet Q1 2026 earnings release,https://s206.q4cdn.com/479360582/files/doc_financials/2026/q1/2026q1-alphabet-earnings-release.pdf,2026-04-29,2026-05-18,Google Services 分项披露：Google Search & other revenue growth YoY,已核实,官方公告披露 Search & other 增长 19%
search_operating_margin_pct,45.3,%,2026Q1,Alphabet Q1 2026 earnings release,https://s206.q4cdn.com/479360582/files/doc_financials/2026/q1/2026q1-alphabet-earnings-release.pdf,2026-04-29,2026-05-21,Google Services operating income 40.589bn / Google Services revenue 89.637bn；作为 Search 利润质量代理，非 Search 单独披露 margin,已核实,代理指标；Alphabet 不披露 Search operating margin，使用 Google Services margin 作为保守代理
search_market_share_pct,90.04,%,2026-04,StatCounter Global Stats,https://gs.statcounter.com/search-engine-market-share/all,2026-04-30,2026-05-21,StatCounter worldwide search engine market share April 2026,已核实,第三方份额数据；作为 Search 护城河辅助证据
cloud_revenue_growth_yoy_pct,63,%,2026Q1,Alphabet Q1 2026 earnings release,https://s206.q4cdn.com/479360582/files/doc_financials/2026/q1/2026q1-alphabet-earnings-release.pdf,2026-04-29,2026-05-18,Google Cloud revenue growth YoY,已核实,官方公告披露 Google Cloud revenues increased 63%
cloud_operating_margin_pct,32.9,%,2026Q1,Alphabet Q1 2026 earnings release,https://s206.q4cdn.com/479360582/files/doc_financials/2026/q1/2026q1-alphabet-earnings-release.pdf,2026-04-29,2026-05-18,Google Cloud operating income 6.598bn / Google Cloud revenue 20.028bn,已核实,由官方分部收入和分部经营利润计算
cloud_backlog_growth_yoy_pct,400.3,%,2026Q1,Alphabet Form 10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,2026-04-30,2026-05-21,原始同比=(2026Q1 Google Cloud backlog 462.3bn - 2025Q1 revenue backlog 92.4bn)/92.4bn；2026Q1 口径变化导致不可完全可比,已核实,口径变化：2026Q1 起 backlog 纳入原始预期期限一年及以内合同；原始同比不得解释为纯订单加速
fcf_margin_pct,9.2,%,2026Q1,Alphabet Q1 2026 earnings release,https://s206.q4cdn.com/479360582/files/doc_financials/2026/q1/2026q1-alphabet-earnings-release.pdf,2026-04-29,2026-05-18,Free cash flow 10.116bn / total revenues 109.896bn,已核实,由官方 FCF 和收入计算
capex_to_revenue_pct,32.5,%,2026Q1,Alphabet Q1 2026 earnings release,https://s206.q4cdn.com/479360582/files/doc_financials/2026/q1/2026q1-alphabet-earnings-release.pdf,2026-04-29,2026-05-18,Purchases of property and equipment 35.674bn / total revenues 109.896bn,已核实,由官方 CapEx 和收入计算
ai_capex_roi_comment_score,55,0-100,2026Q1,Alphabet Q1 2026 earnings release + Google I/O 2026 official announcements,https://blog.google/innovation-and-ai/sundar-pichai-io-2026/,2026-05-19,2026-05-21,内部评分：I/O 使用量、Gemini/Agent/TPU 进展和 Cloud 增长为正；CapEx/revenue 32.5%、FCF margin 9.2%、2026 capex guide 180-190bn 为负,已核实,模型评分，不是公司披露事实；用于 AI ROI/FCF 维度的保守中性偏正评分
forward_pe,数据缺失,x,2026Q1,数据缺失,数据缺失,数据缺失,数据缺失,数据缺失,待核实,待核实样例
fcf_yield_pct,数据缺失,%,2026Q1,数据缺失,数据缺失,数据缺失,数据缺失,数据缺失,待核实,待核实样例
rr_ratio,数据缺失,x,2026Q1,数据缺失,数据缺失,数据缺失,数据缺失,数据缺失,待核实,待核实样例
