date,ticker,firm,analyst,rating,action,target_price,previous_target,current_price_reference,upside_pct,source_name,source_url,source_date,captured_at,source_type,verified_status,notes
2026-05-20,GOOGL,StockAnalysis / S&P Global consensus,64 analysts,Strong Buy,Consensus,428.96,数据缺失,385.79,11.19,StockAnalysis,https://stockanalysis.com/stocks/googl/forecast/,2026-05-20,2026-05-20,二手聚合,已核实,"公开聚合数据；可作外部共识参考，不等同投行原始研报"
2026-05-20,GOOGL,Benzinga consensus,35 analysts,Buy,Consensus,408.49,数据缺失,数据缺失,数据缺失,Benzinga,https://www.benzinga.com/quote/GOOGL/analyst-ratings,2026-05-20,2026-05-20,二手聚合,已核实,"公开聚合数据；与 StockAnalysis 样本数不同，需保留口径差异"
2026-05-20,GOOGL,Goldman Sachs,数据缺失,Buy,Raised,450,400,349.94,数据缺失,Investing.com / Reuters,https://uk.investing.com/news/stock-market-news/goldman-sachs-raises-alphabet-stock-price-target-on-cloud-growth-93CH-4639415,2026-04-30,2026-05-20,二手新闻,已核实,"引用公开新闻摘要；原始 Goldman 研报未取得；理由包括 Search reacceleration、Cloud backlog、Cloud incremental margin 和 capex ROI 关注"
2026-05-20,GOOGL,JPMorgan Chase & Co.,数据缺失,Overweight,Raised,460,395,数据缺失,24.31,MarketBeat / MarketScreener,https://www.marketbeat.com/instant-alerts/jpmorgan-chase-co-increases-alphabet-nasdaqgoogl-price-target-to-46000-2026-04-30/,2026-04-30,2026-05-20,二手新闻,已核实,"引用公开新闻摘要；原始 JPMorgan 研报未取得"
2026-05-20,GOOGL,Bank of America,数据缺失,Buy,Raised,430,370,数据缺失,11.90,MarketBeat / MarketScreener,https://www.marketbeat.com/instant-alerts/bank-of-america-increases-alphabet-nasdaqgoogl-price-target-to-43000-2026-05-01/,2026-05-01,2026-05-20,二手新闻,已核实,"引用公开新闻摘要；原始 BofA 研报未取得；关注 AI spending tailwinds 和 Cloud"
2026-05-20,GOOGL,Morgan Stanley,数据缺失,Overweight,Raised,375,330,383.32,-2.17,MarketBeat / Benzinga,https://www.marketbeat.com/instant-alerts/morgan-stanley-raises-alphabet-nasdaqgoogl-price-target-to-37500-2026-04-30/,2026-04-30,2026-05-20,二手新闻,已核实,"引用公开新闻摘要；原始 Morgan Stanley 研报未取得；该目标价低于新闻当时价格"
2026-05-20,GOOGL,Piper Sandler,Thomas Champion,Overweight,Raised,425,395,数据缺失,数据缺失,StreetInsider,https://www.streetinsider.com/Analyst%2BComments/Alphabet%2B%28GOOGL%29%2BPT%2BRaised%2Bto%2B%24425%2Bat%2BPiper%2BSandler%3B%2BCloud%2Band%2BSearch%2BCombine%2Bto%2BDeliver%2BStellar%2BResults/26402161.html,2026-04-30,2026-05-20,二手新闻,已核实,"引用公开新闻摘要；原始 Piper Sandler 研报未取得；观点强调 Cloud 与 Search 同时强劲"
2026-05-22,GOOGL,Benzinga consensus,35 analysts,Buy,Consensus,408.71,数据缺失,382.97,6.72,Benzinga,https://www.benzinga.com/quote/GOOGL/analyst-ratings,2026-05-22,2026-05-23,二手聚合,已核实,"Benzinga 显示共识目标价 408.71、最高 515、最低 310；二手聚合，仅作外部共识参考"
2026-05-22,GOOGL,Recent Benzinga sample,Rosenblatt / KeyBanc / Citizens,Mixed,Recent ratings average,444.33,数据缺失,382.97,16.24,Benzinga,https://www.benzinga.com/quote/GOOGL/analyst-ratings,2026-05-22,2026-05-23,二手聚合,已核实,"最近三家目标价均值；样本小、偏事件反馈，不能替代基准估值"
2026-05-21,GOOGL,TD Cowen,数据缺失,Buy,Reiterated,450,数据缺失,382.12,17.76,Investing.com / Reuters,https://www.investing.com/news/analyst-ratings/td-cowen-reiterates-alphabet-stock-buy-rating-on-ai-growth-93CH-4704382,2026-05-21,2026-05-23,二手新闻,已核实,"I/O 后维持 Buy；引用公开新闻摘要，原始 TD Cowen 研报未取得"
2026-05-20,GOOGL,Stifel,数据缺失,Buy,Reiterated,420,数据缺失,387.66,8.34,Investing.com,https://ca.investing.com/news/stock-market-news/stifel-reiterates-alphabet-stock-buy-rating-after-google-io-event-93CH-4650871,2026-05-20,2026-05-23,二手新闻,已核实,"I/O 后维持 Buy；称 Alphabet AI 竞争位置改善；原始 Stifel 研报未取得"
